Data;Rf
31.12.2006;4.71
31.03.2007;4.648
30.06.2007;5.033
30.09.2007;4.579
31.12.2007;4.035
31.03.2008;3.432
30.06.2008;3.979
30.09.2008;3.827
31.12.2008;2.244
31.03.2009;2.685
30.06.2009;3.523
30.09.2009;3.307
31.12.2009;3.84
31.03.2010;3.833
30.06.2010;2.951
30.09.2010;2.517
31.12.2010;3.305
31.03.2011;3.454
30.06.2011;3.158
30.09.2011;1.924
31.12.2011;1.871
31.03.2012;2.216
30.06.2012;1.659
30.09.2012;1.637
31.12.2012;1.756
31.03.2013;1.852
30.06.2013;2.478
30.09.2013;2.615
31.12.2013;3.026
31.03.2014;2.723
30.06.2014;2.52
30.09.2014;2.508
31.12.2014;2.17
31.03.2015;1.9266
30.06.2015;2.3567
30.09.2015;2.0367
31.12.2015;2.2694
31.03.2016;1.7791
30.06.2016;1.4832
30.09.2016;1.5979
31.12.2016;2.446
31.03.2017;2.3982
30.06.2017;2.3072
30.09.2017;2.3336
31.12.2017;2.405
31.03.2018;2.741
30.06.2018;2.862
30.09.2018;3.065
31.12.2018;2.686
31.03.2019;2.407
30.06.2019;2.007
30.09.2019;1.666
31.12.2019;1.919
31.03.2020;0.674
30.06.2020;0.658
30.09.2020;0.686
31.12.2020;0.916
31.03.2021;1.739
30.06.2021;1.47
30.09.2021;1.489
31.12.2021;1.512
31.03.2022;2.342
