Date;EURONEXT
20.03.2017;40.634
23.03.2017;40.37
27.03.2017;39.695
29.03.2017;39.78
31.03.2017;40.905
03.04.2017;41.0162
07.04.2017;42.2571
13.04.2017;42.4788
18.04.2017;42.5414
24.04.2017;45.2446
25.04.2017;44.4822
27.04.2017;44.8738
28.04.2017;45.054
02.05.2017;45.799
03.05.2017;46.4319
04.05.2017;47.1315
09.05.2017;48.2935
10.05.2017;47.769
17.05.2017;47.1289
18.05.2017;46.0524
19.05.2017;46.3968
22.05.2017;47.2572
30.05.2017;46.0584
31.05.2017;46.56
02.06.2017;47.6713
05.06.2017;47.6116
08.06.2017;46.3665
09.06.2017;45.9284
13.06.2017;46.114
14.06.2017;45.4826
15.06.2017;45.4538
16.06.2017;46.485
20.06.2017;46.864
26.06.2017;46.8736
27.06.2017;46.0048
28.06.2017;46.126
29.06.2017;46.0485
30.06.2017;45.5125
03.07.2017;45.8782
04.07.2017;45.0085
06.07.2017;45.6905
07.07.2017;45.7054
11.07.2017;46.8556
13.07.2017;47.5567
17.07.2017;47.0804
19.07.2017;47.0048
20.07.2017;47.0499
25.07.2017;47.0193
01.08.2017;50.02
02.08.2017;50.7737
03.08.2017;49.6878
08.08.2017;49.4862
09.08.2017;49.7515
10.08.2017;49.1144
14.08.2017;48.41
15.08.2017;48.1056
18.08.2017;48.4172
24.08.2017;48.3
29.08.2017;46.3781
30.08.2017;47.6097
01.09.2017;48.9492
08.09.2017;49.3693
11.09.2017;49.7245
12.09.2017;50.5953
13.09.2017;51.1646
15.09.2017;51.35
18.09.2017;51.3102
19.09.2017;51.35
20.09.2017;51.0771
21.09.2017;51.1486
22.09.2017;50.811
25.09.2017;49.8049
26.09.2017;49.8003
27.09.2017;50.1076
28.09.2017;50.7197
29.09.2017;51.1388
02.10.2017;51.9196
03.10.2017;52.6338
04.10.2017;52.371
05.10.2017;52.7438
06.10.2017;52.983
09.10.2017;53.0901
10.10.2017;52.9495
11.10.2017;53.0522
12.10.2017;53.2271
13.10.2017;52.3402
16.10.2017;52.0505
17.10.2017;51.6559
18.10.2017;51.3505
19.10.2017;51.9682
20.10.2017;52.7963
23.10.2017;53.0981
24.10.2017;52.195
25.10.2017;52.409
26.10.2017;52.5164
27.10.2017;52.4245
30.10.2017;51.9323
31.10.2017;50.9878
01.11.2017;51.3383
02.11.2017;51.4581
03.11.2017;51.4378
06.11.2017;51.3366
07.11.2017;51.2493
08.11.2017;49.6613
09.11.2017;48.66
10.11.2017;48.7836
13.11.2017;47.9337
14.11.2017;48.885
15.11.2017;48.505
16.11.2017;48.6487
17.11.2017;48.2953
20.11.2017;48.2953
21.11.2017;48.2953
22.11.2017;48.2953
23.11.2017;48.2953
24.11.2017;48.2953
27.11.2017;48.7679
28.11.2017;48.939
29.11.2017;49.2177
30.11.2017;50.5515
01.12.2017;51.0028
04.12.2017;50.8305
05.12.2017;50.474
06.12.2017;50.3955
07.12.2017;50.8946
08.12.2017;52
11.12.2017;52.06
12.12.2017;51.9996
13.12.2017;51.8813
14.12.2017;52.0366
15.12.2017;51.8658
18.12.2017;52.5247
19.12.2017;52.0129
20.12.2017;52.01
21.12.2017;52.28
22.12.2017;52.219
27.12.2017;51.8529
28.12.2017;52.282
29.12.2017;52.11
