Date;DRG;SP 500
20.03.2017;514.75;4808.2
21.03.2017;510.459991;4702.28
22.03.2017;511.130005;4708.58
23.03.2017;510.230011;4713.41
24.03.2017;509.790009;4725.15
27.03.2017;513.380005;4848.22
28.03.2017;512.830017;4870.17
29.03.2017;512.77002;4898.35
30.03.2017;510.660004;4844.04
31.03.2017;508.850006;4819.6
03.04.2017;508.700012;4792.64
04.04.2017;511;4778.89
05.04.2017;507.959991;4756.43
06.04.2017;507.410004;4821.89
07.04.2017;507.209991;4916
10.04.2017;505.579987;4924.36
11.04.2017;505.820007;4888.89
12.04.2017;507.420013;4867.97
13.04.2017;505.339996;4857.98
17.04.2017;505.829987;4840.17
18.04.2017;499.140015;4777.81
19.04.2017;498.459991;4797.94
20.04.2017;501.190002;4825.19
21.04.2017;499.089996;4776.16
24.04.2017;505.160004;4830.68
25.04.2017;507.329987;4855.68
26.04.2017;508.059998;4929.1
27.04.2017;512.159973;4960.3
28.04.2017;511.980011;4957.45
01.05.2017;511.839996;4968.35
02.05.2017;515.27002;4943.68
03.05.2017;514.070007;4812.31
04.05.2017;517.97998;4852.94
05.05.2017;517.799988;4883.8
08.05.2017;514.76001;4751.1
09.05.2017;515.97998;4820.51
10.05.2017;516.080017;4849.84
11.05.2017;515.719971;4908.65
12.05.2017;519.940002;4910.57
15.05.2017;523.349976;4908.55
16.05.2017;523.26001;4877.44
17.05.2017;516.5;4764.98
18.05.2017;517.469971;4738.66
19.05.2017;518.590027;4734.41
22.05.2017;518.909973;4725.84
23.05.2017;519.609985;4771.99
24.05.2017;520.340027;4769.15
25.05.2017;521.159973;4802.89
26.05.2017;518.880005;4801.38
30.05.2017;519.01001;4746.63
31.05.2017;524;4795.7
01.06.2017;527.23999;4874.19
02.06.2017;530.27002;4866.98
05.06.2017;527.580017;4802.83
06.06.2017;525.77002;4792.44
07.06.2017;524.75;4800.02
08.06.2017;523.929993;4861.17
09.06.2017;528.23999;4809.88
12.06.2017;527.429993;4752.89
13.06.2017;527.320007;4768.63
14.06.2017;529.5;4767.19
15.06.2017;528.340027;4740.97
16.06.2017;531.150024;4749.15
19.06.2017;534.719971;4836.48
20.06.2017;535.900024;4853.01
21.06.2017;540.179993;4978.21
22.06.2017;549.200012;5045.19
23.06.2017;548.919983;5058.48
26.06.2017;548.820007;5069.36
27.06.2017;543.640015;4958.62
28.06.2017;542.669983;5006.62
29.06.2017;537.469971;4970.31
30.06.2017;536.299988;4955.03
03.07.2017;537.179993;5003.46
05.07.2017;537.570007;5009.29
06.07.2017;530.409973;4917.85
07.07.2017;532.330017;4952.53
10.07.2017;530.440002;4923.67
11.07.2017;528.679993;4956.08
12.07.2017;533.440002;5001.15
13.07.2017;532.75;5030.44
14.07.2017;535.799988;5038.89
17.07.2017;533.869995;5036.52
18.07.2017;535.880005;5027.15
19.07.2017;537.090027;5031.69
20.07.2017;542.429993;5093.52
21.07.2017;541.330017;5101.84
24.07.2017;537.679993;5103.39
25.07.2017;535.369995;5069.73
26.07.2017;533.969971;5050.48
27.07.2017;529.890015;4982.14
28.07.2017;531.530029;4991.52
31.07.2017;531.890015;4969.8
01.08.2017;530.820007;4895.04
02.08.2017;529.330017;4854.37
03.08.2017;528.22998;4789.28
04.08.2017;525.900024;4761.42
07.08.2017;523.47998;4769.47
08.08.2017;521.169983;4644.92
09.08.2017;522.969971;4632.15
10.08.2017;518.390015;4610.38
11.08.2017;519.280029;4633.87
14.08.2017;520.820007;4654.75
15.08.2017;521.130005;4679.25
16.08.2017;523.090027;4708.66
17.08.2017;516.909973;4663.9
18.08.2017;514.659973;4644.2
21.08.2017;515.900024;4628.85
22.08.2017;521.059998;4683.84
23.08.2017;518.590027;4683.5
24.08.2017;520.5;4734.19
25.08.2017;520.460022;4726.49
28.08.2017;522.75;4780
29.08.2017;522.76001;4792.32
30.08.2017;521.73999;4796.06
31.08.2017;529.890015;4932.7
01.09.2017;528.609985;4930.26
05.09.2017;525.710022;4889.35
06.09.2017;529.590027;4895.16
07.09.2017;538.049988;4955.03
08.09.2017;540.299988;4977.24
11.09.2017;545.76001;5024.67
12.09.2017;548.460022;5030.22
13.09.2017;545.950012;4987.28
14.09.2017;549;4955.6
15.09.2017;546.22998;4922.3
18.09.2017;545.869995;4928.92
19.09.2017;545.619995;4855.18
20.09.2017;545.909973;4858.86
21.09.2017;544.369995;4877.16
22.09.2017;546.700012;4876.98
25.09.2017;545.909973;4894.92
26.09.2017;541.849976;4843.03
27.09.2017;540.590027;4921.05
28.09.2017;542.22998;4856.91
29.09.2017;544.890015;4899.7
02.10.2017;550.869995;5021.99
03.10.2017;551.070007;4983.05
04.10.2017;552.119995;5050.28
05.10.2017;552.27002;5045.34
06.10.2017;552.549988;5028.43
09.10.2017;551.75;4987.76
10.10.2017;553.880005;4997.41
11.10.2017;555.859985;5020.69
12.10.2017;554.890015;4971.66
13.10.2017;553.320007;4957.57
16.10.2017;552.159973;4921.88
17.10.2017;556.650024;4935.49
18.10.2017;556.369995;4925.32
19.10.2017;560.52002;4969.75
20.10.2017;560.099976;4968.26
23.10.2017;558.669983;4903.47
24.10.2017;551.820007;4879.57
25.10.2017;547.5;4834.27
26.10.2017;540.059998;4728.64
27.10.2017;537.48999;4700.01
30.10.2017;533.48999;4676
31.10.2017;533.640015;4673.08
01.11.2017;536.210022;4714.47
02.11.2017;533.849976;4657.93
03.11.2017;537.119995;4727.37
06.11.2017;536.539978;4743.16
07.11.2017;534.169983;4611.63
08.11.2017;538.950012;4679.35
09.11.2017;535.859985;4691.96
10.11.2017;533.090027;4754.68
13.11.2017;532.719971;4762.83
14.11.2017;532.52002;4742.32
15.11.2017;531.450012;4748.19
16.11.2017;534.950012;4814.27
17.11.2017;534.52002;4817.67
20.11.2017;531.789978;4796.47
21.11.2017;535.599976;4849.92
22.11.2017;536.140015;4874.1
24.11.2017;538.22998;4902.94
27.11.2017;537.960022;4853.56
28.11.2017;542.099976;4897.62
29.11.2017;542.51001;4924.64
30.11.2017;542.820007;4947.74
01.12.2017;543.429993;4952.91
04.12.2017;538.080017;4884.11
05.12.2017;535.77002;4867.46
06.12.2017;533.969971;4821.91
07.12.2017;533.940002;4880.91
08.12.2017;539.619995;4949.86
11.12.2017;543.599976;4985.74
12.12.2017;547.909973;5024.38
13.12.2017;548.450012;5059.07
14.12.2017;543.72998;4989.22
15.12.2017;547.580017;5041.08
18.12.2017;548.869995;5040.82
19.12.2017;547.869995;5009.99
20.12.2017;543.809998;4999.79
21.12.2017;546.030029;5045.36
22.12.2017;544.090027;5019.37
26.12.2017;544.640015;5064.35
27.12.2017;546.73999;5043.27
28.12.2017;547.22998;5057.96
29.12.2017;544.929993;5012.11
02.01.2018;550.27002;5081.86
03.01.2018;553.25;5120.71
04.01.2018;554.890015;5119.61
05.01.2018;559.01001;5111.54
08.01.2018;556.150024;5082.64
09.01.2018;558.809998;5154.98
10.01.2018;557.429993;5155.6
11.01.2018;560.450012;5231.98
12.01.2018;564.5;5271.31
16.01.2018;566.700012;5217.47
17.01.2018;570.710022;5244.19
18.01.2018;568.909973;5214.48
19.01.2018;571.450012;5231.5
22.01.2018;574.469971;5339.46
23.01.2018;569.869995;5364.78
24.01.2018;573.330017;5326.21
25.01.2018;579.330017;5371.99
26.01.2018;593.119995;5399.26
29.01.2018;589.200012;5378.85
30.01.2018;578.01001;5244.37
31.01.2018;564.47998;5141.71
01.02.2018;566.409973;5198.18
02.02.2018;558.880005;5092.02
05.02.2018;533.450012;4843.37
06.02.2018;538.820007;4898.9
07.02.2018;537.659973;4898.03
08.02.2018;521.830017;4727.56
09.02.2018;528.5;4764
12.02.2018;533.130005;4823.57
13.02.2018;532.289978;4811.73
14.02.2018;538.289978;4914.02
15.02.2018;546.799988;4990.71
16.02.2018;552.429993;5009.04
20.02.2018;543.830017;4945.37
21.02.2018;541.73999;4939.07
22.02.2018;541.859985;4911.04
23.02.2018;548.799988;4985.64
26.02.2018;555;5046.14
27.02.2018;546.669983;4908.04
28.02.2018;538.25;4787.51
01.03.2018;530.809998;4752.61
02.03.2018;535.359985;4897.09
05.03.2018;540.450012;4909.6
06.03.2018;536.059998;4896.8
07.03.2018;538.130005;4915.53
